"numprec","region","metro","relate","age","sex","race","marst","bpl","sch","educ99","empstat","classwkr","wkswork1","uhrswork","incwage","ftype","annhrs","hrwage","adj_ind","adj_occ2name"
3,"East North Central Div.","Not in metro area","Spouse",62,"Male","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Federal govt employee",48,40,50000,"Primary family",1920,26.0416660308838,"Construction","Transportation and materials moving"
5,"West North Central Div.","Central / Principal city status unknown","Head/Householder",31,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,58000,"Primary family",2080,27.884614944458,"Machine shops; turned product; screw, nut, and bolt manufacturing","Production"
2,"South Atlantic Division","In metro area, central / principal city","Spouse",32,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Federal govt employee",52,55,120000,"Primary family",2860,41.9580421447754,"Not avaliable","financial Operators"
1,"East North Central Div.","Not in metro area","Head/Householder",37,"Male","White nonhisp","Divorced","United States","Grade 12","High school","At work","Wage/salary, private sector",16,38,19000,"Nonfamily householder",608,31.25,"Construction","Consruction, Extraction, Installation"
3,"Pacific Division","In metro area, outside central / principal city","Spouse",43,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Federal govt employee",35,40,60000,"Primary family",1400,42.8571434020996,"Forestry except logging","Protective Service adj_occupations"
3,"East North Central Div.","In metro area, outside central / principal city","Head/Householder",54,"Male","Black nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,1e+05,"Primary family",2080,48.0769233703613,"Software publishers","Computer and Math Technicians"
5,"South Atlantic Division","Central / Principal city status unknown","Spouse",30,"Male","White nonhisp","Married, spouse present","United States","Grade 10","10th grade","At work","Wage/salary, private sector",52,45,18000,"Primary family",2340,7.692307472229,"Construction","Consruction, Extraction, Installation"
2,"West North Central Div.","Not in metro area","Head/Householder",26,"Male","White nonhisp","Never married/single","United States","Grade 12","High school","At work","Wage/salary, private sector",52,50,33000,"Primary family",2600,12.692307472229,"Crop production","Managers"
5,"New England Division","In metro area, outside central / principal city","Head/Householder",45,"Male","Hispanic","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,48000,"Primary family",2080,23.0769233703613,"Groceries and related products, merchant wholesalers","Production"
4,"Middle Atlantic Division","In metro area, outside central / principal city","Housemate/Roomate",25,"Male","White nonhisp","Never married/single","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,55800,"Secondary individual",2080,26.8269233703613,"Securities, commodities, funds, trusts, and other financial investments","Managers"
3,"South Atlantic Division","In metro area, outside central / principal city","Spouse",51,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Federal govt employee",52,40,90000,"Primary family",2080,43.269229888916,"Not avaliable","Managers"
4,"Pacific Division","In metro area, central / principal city","Head/Householder",51,"Male","Other nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","State govt employee",52,35,70000,"Primary family",1820,38.461540222168,"Elementary and secondary schools","Managers"
2,"West North Central Div.","In metro area, central / principal city","Sibling",37,"Male","White nonhisp","Divorced","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,47,35000,"Primary family",2444,14.3207855224609,"Clothing stores","Managers"
4,"Pacific Division","In metro area, central / principal city","Sibling",40,"Male","Hispanic","Never married/single","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,35000,"Primary family",2080,16.8269233703613,"Specialty food stores","Production"
5,"West North Central Div.","In metro area, central / principal city","Head/Householder",57,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,30,32000,"Primary family",1560,20.5128211975098,"Construction","Managers"
2,"East South Central Div.","Central / Principal city status unknown","Head/Householder",47,"Male","Black nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",42,40,54333,"Primary family",1680,32.3410720825195,"Nonmetallic mineral mining and quarrying (Includes 0480 starting May 2012)","Consruction, Extraction, Installation"
6,"West North Central Div.","Central / Principal city status unknown","Head/Householder",34,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,50,42000,"Primary family",2600,16.1538467407227,"Construction","Consruction, Extraction, Installation"
5,"West North Central Div.","Central / Principal city status unknown","Spouse",49,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,60,60000,"Primary family",3120,19.230770111084,"Lumber and other construction materials, merchant wholesalers","Managers"
2,"West North Central Div.","Central / Principal city status unknown","Head/Householder",26,"Male","White nonhisp","Never married/single","United States","Associate's degree","Associate's degree 1","At work","Wage/salary, private sector",52,50,48000,"Nonfamily householder",2600,18.4615383148193,"Lawn and garden equipment and supplies stores","Consruction, Extraction, Installation"
3,"Middle Atlantic Division","Not in metro area","Head/Householder",35,"Male","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,45,60000,"Primary family",2340,25.6410255432129,"Engines, turbines, and power transmission equipment manufacturing","Transportation and materials moving"
1,"East North Central Div.","Not in metro area","Head/Householder",51,"Male","White nonhisp","Divorced","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,37000,"Nonfamily householder",2080,17.7884616851807,"Ship and boat building","Production"
5,"Pacific Division","In metro area, outside central / principal city","Spouse",51,"Male","White nonhisp","Married, spouse present","Indonesia","Some collage","Some collage","At work","Wage/salary, private sector",52,40,1e+05,"Primary family",2080,48.0769233703613,"Wired telecommunications carriers","Consruction, Extraction, Installation"
2,"West South Central Div.","Not in metro area","Head/Householder",25,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,52,60000,"Primary family",2704,22.1893482208252,"Support activities for mining","Consruction, Extraction, Installation"
4,"West South Central Div.","In metro area, outside central / principal city","Spouse",33,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,45000,"Primary family",2080,21.634614944458,"Non-depository credit and related activities","Managers"
3,"South Atlantic Division","In metro area, outside central / principal city","Head/Householder",40,"Male","White nonhisp","Widowed","Yemen","Some collage","Some collage","At work","Wage/salary, private sector",48,40,30000,"Primary family",1920,15.625,"Department stores and discount stores","Production"
1,"South Atlantic Division","Not in metro area","Head/Householder",44,"Male","Black nonhisp","Never married/single","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,15600,"Nonfamily householder",2080,7.5,"Animal production","Farming, Fishing & Forestry"
3,"Mountain Division","Not in metro area","Spouse",46,"Male","Hispanic","Married, spouse present","Mexico","Grade 11","11th grade","At work","Wage/salary, private sector",52,60,350000,"Primary family",3120,116.185897827148,"Support activities for mining","Consruction, Extraction, Installation"
4,"New England Division","Not in metro area","Spouse",35,"Male","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,50,50002,"Primary family",2600,19.231538772583,"Miscellaneous fabricated metal products manufacturing","Production"
3,"New England Division","In metro area, central / principal city","Head/Householder",27,"Male","Hispanic","Never married/single","Dominican Republic","Associate's degree","Associate's degree 1","At work","Wage/salary, private sector",40,35,23000,"Primary family",1400,16.4285717010498,"Hospitals","Office and Admin Support"
5,"West South Central Div.","Not in metro area","Head/Householder",31,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",36,99,47000,"Primary family",3564,13.1874294281006,"Support activities for mining","Managers"
2,"New England Division","In metro area, central / principal city","Head/Householder",30,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,50,85000,"Primary family",2600,32.6923065185547,"Securities, commodities, funds, trusts, and other financial investments","Computer and Math Technicians"
6,"West South Central Div.","Central / Principal city status unknown","Head/Householder",53,"Male","Hispanic","Married, spouse present","Mexico","Grade 5","5th-8th grades","At work","Wage/salary, private sector",52,40,26000,"Primary family",2080,12.5,"Construction","Transportation and materials moving"
3,"New England Division","In metro area, outside central / principal city","Spouse",59,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,40,90000,"Primary family",2080,43.269229888916,"Aircraft and parts manufacturing","Managers"
4,"West North Central Div.","Central / Principal city status unknown","Spouse",29,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","Has job, not at work now","Wage/salary, private sector",52,60,32000,"Primary family",3120,10.2564105987549,"Other health care services","Managers"
5,"Middle Atlantic Division","In metro area, outside central / principal city","Head/Householder",49,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,50,54000,"Primary family",2600,20.769229888916,"Truck transportation","Transportation and materials moving"
2,"South Atlantic Division","Not in metro area","Head/Householder",63,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,60000,"Primary family",2080,28.8461532592773,"Motor vehicles and motor vehicle equipment manufacturing","Transportation and materials moving"
2,"Middle Atlantic Division","In metro area, central / principal city","Unmarried Partner",36,"Male","Hispanic","Never married/single","Mexico","Grade 12","12th grade","At work","Wage/salary, private sector",52,50,21000,"Secondary individual",2600,8.07692337036133,"Real estate","Managers"
3,"Pacific Division","Central / Principal city status unknown","Unmarried Partner",27,"Male","White nonhisp","Never married/single","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,40,28000,"Secondary individual",2080,13.4615383148193,"Radio, TV, and computer stores","Office and Admin Support"
5,"Pacific Division","Central / Principal city status unknown","Spouse",37,"Male","Hispanic","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,40,65000,"Primary family",2080,31.25,"Machinery, equipment, and supplies, merchant wholesalers","Consruction, Extraction, Installation"
2,"West North Central Div.","In metro area, outside central / principal city","Spouse",30,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,42000,"Primary family",2080,20.1923084259033,"Software publishers","Computer and Math Technicians"
6,"South Atlantic Division","Central / Principal city status unknown","Spouse",48,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,40,59000,"Primary family",2080,28.365385055542,"Management of companies and enterprises","Managers"
4,"West South Central Div.","In metro area, outside central / principal city","Unmarried Partner",31,"Male","White nonhisp","Never married/single","United States","Grade 12","High school","At work","Wage/salary, private sector",52,60,36000,"Secondary individual",3120,11.5384616851807,"Drinking places, alcoholic beverages","Managers"
1,"Pacific Division","In metro area, outside central / principal city","Head/Householder",58,"Male","Other nonhisp","Never married/single","Philippines","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,45,60000,"Nonfamily householder",2340,25.6410255432129,"Miscellaneous general merchandise stores","Computer and Math Technicians"
2,"South Atlantic Division","Central / Principal city status unknown","Head/Householder",47,"Male","Hispanic","Divorced","Mexico","Grade 12","High school","At work","Wage/salary, private sector",52,40,40002,"Primary family",2080,19.2317314147949,"Truck transportation","Transportation and materials moving"
5,"South Atlantic Division","In metro area, outside central / principal city","Head/Householder",34,"Male","White nonhisp","Married, spouse present","Brazil","Grade 12","High school","At work","Wage/salary, private sector",52,40,18000,"Primary family",2080,8.65384578704834,"Construction","Consruction, Extraction, Installation"
5,"South Atlantic Division","In metro area, outside central / principal city","Head/Householder",41,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,60,1e+05,"Primary family",3120,32.0512809753418,"Drugs, sundries, and chemical and allied products, merchant wholesalers","Managers"
5,"East North Central Div.","In metro area, outside central / principal city","Head/Householder",43,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Local govt employee",52,60,101000,"Primary family",3120,32.3717956542969,"Elementary and secondary schools","Managers"
5,"Pacific Division","In metro area, central / principal city","Sibling",29,"Male","Hispanic","Never married/single","Guatemala","Grade 2","1st-4th grades","At work","Wage/salary, private sector",17,40,5800,"Primary family",680,8.52941131591797,"Cut and sew apparel manufacturing","Production"
1,"Middle Atlantic Division","Central / Principal city status unknown","Head/Householder",58,"Male","White nonhisp","Divorced","United States","Grade 12","High school","At work","Wage/salary, private sector",52,56,126000,"Nonfamily householder",2912,43.269229888916,"Iron and steel mills and steel product manufacturing","Production"
9,"New England Division","Central / Principal city status unknown","Head/Householder",42,"Male","Black nonhisp","Married, spouse present","Congo","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,40,39000,"Primary family",2080,18.75,"Residential care facilities, without nursing","Managers"
3,"Pacific Division","In metro area, outside central / principal city","Other Relatives",41,"Male","Other nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Federal govt employee",52,40,60000,"Related subfamily",2080,28.8461532592773,"Not avaliable","Business Operators"
4,"East South Central Div.","Central / Principal city status unknown","Head/Householder",39,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",46,48,58000,"Primary family",2208,26.2681159973145,"Animal production","Managers"
4,"South Atlantic Division","In metro area, central / principal city","Head/Householder",42,"Male","Black nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,60000,"Primary family",2080,28.8461532592773,"Not avaliable","financial Operators"
4,"East North Central Div.","In metro area, central / principal city","Spouse",54,"Male","Black nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,52,21000,"Primary family",2704,7.76627206802368,"Clothing stores","Office and Admin Support"
2,"West North Central Div.","Not in metro area","Head/Householder",62,"Male","White nonhisp","Divorced","United States","Grade 12","High school","At work","Local govt employee",52,40,36000,"Nonfamily householder",2080,17.3076915740967,"Construction","Consruction, Extraction, Installation"
2,"Pacific Division","In metro area, central / principal city","Head/Householder",38,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,40,18000,"Primary family",2080,8.65384578704834,"Colleges and universities, including junior colleges","Managers"
5,"Mountain Division","In metro area, outside central / principal city","Child",42,"Male","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Federal govt employee",52,40,35000,"Related subfamily",2080,16.8269233703613,"Not avaliable","Protective Service adj_occupations"
2,"New England Division","Not in metro area","Unmarried Partner",34,"Male","White nonhisp","Never married/single","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",51,40,27500,"Secondary individual",2040,13.4803924560547,"Hospitals","Office and Admin Support"
1,"South Atlantic Division","In metro area, outside central / principal city","Head/Householder",34,"Male","Black nonhisp","Never married/single","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,40,50000,"Nonfamily householder",2080,24.0384616851807,"Computer systems design and related services","Computer and Math Technicians"
1,"Mountain Division","Central / Principal city status unknown","Head/Householder",54,"Male","White nonhisp","Never married/single","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,50,78000,"Nonfamily householder",2600,30,"Truck transportation","Transportation and materials moving"
2,"Middle Atlantic Division","In metro area, central / principal city","Spouse",56,"Male","Other nonhisp","Married, spouse present","Peru","Associate's degree","Associate's degree 1","At work","State govt employee",47,40,34002,"Primary family",1880,18.0861701965332,"Colleges and universities, including junior colleges","Protective Service adj_occupations"
5,"East North Central Div.","In metro area, central / principal city","Head/Householder",33,"Male","Hispanic","Married, spouse present","Mexico","Some collage","Some collage","At work","Wage/salary, private sector",52,40,24000,"Primary family",2080,11.5384616851807,"Services to buildings and dwellings","Consruction, Extraction, Installation"
4,"East South Central Div.","Central / Principal city status unknown","Head/Householder",47,"Male","White nonhisp","Widowed","United States","Grade 12","High school","At work","Local govt employee",48,40,30000,"Primary family",1920,15.625,"Museums, art galleries, historical sites, and similar institutions","Protective Service adj_occupations"
1,"West South Central Div.","In metro area, outside central / principal city","Head/Householder",49,"Male","White nonhisp","Widowed","United States","Grade 10","10th grade","At work","Wage/salary, private sector",52,40,28600,"Nonfamily householder",2080,13.75,"Crop production","Production"
3,"Pacific Division","In metro area, central / principal city","Spouse",50,"Male","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,50,75000,"Primary family",2600,28.8461532592773,"Automobile dealers","Consruction, Extraction, Installation"
5,"West North Central Div.","Not in metro area","Spouse",37,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,60,96500,"Primary family",3120,30.9294872283936,"Support activities for mining","Consruction, Extraction, Installation"
2,"West North Central Div.","In metro area, outside central / principal city","Head/Householder",56,"Male","Black nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,59000,"Primary family",2080,28.365385055542,"Construction","Consruction, Extraction, Installation"
3,"South Atlantic Division","In metro area, central / principal city","Child",35,"Male","White nonhisp","Separated","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,90000,"Related subfamily",2080,43.269229888916,"Motion pictures and video industries","Managers"
3,"East North Central Div.","In metro area, outside central / principal city","Head/Householder",52,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Federal govt employee",52,40,65000,"Primary family",2080,31.25,"Hospitals","Consruction, Extraction, Installation"
1,"South Atlantic Division","Central / Principal city status unknown","Head/Householder",46,"Male","White nonhisp","Divorced","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,42000,"Nonfamily householder",2080,20.1923084259033,"Radio and television broadcasting and cable subscription programming","Managers"
3,"East North Central Div.","In metro area, outside central / principal city","Head/Householder",36,"Male","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Federal govt employee",52,50,117000,"Primary family",2600,45,"Not avaliable","Protective Service adj_occupations"
2,"West North Central Div.","Central / Principal city status unknown","Spouse",53,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","State govt employee",52,50,60000,"Primary family",2600,23.0769233703613,"Colleges and universities, including junior colleges","Managers"
1,"Mountain Division","In metro area, central / principal city","Head/Householder",45,"Male","Hispanic","Married, spouse absent","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,12000,"Nonfamily householder",2080,5.76923084259033,"Electronic shopping","Office and Admin Support"
3,"Middle Atlantic Division","Central / Principal city status unknown","Head/Householder",54,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,55,80000,"Primary family",2860,27.9720287322998,"Furniture and home furnishing, merchant wholesalers","Managers"
1,"Middle Atlantic Division","In metro area, central / principal city","Head/Householder",51,"Male","White nonhisp","Never married/single","Jordan","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,60,240000,"Nonfamily householder",3120,76.9230804443359,"Securities, commodities, funds, trusts, and other financial investments","Managers"
11,"West North Central Div.","Central / Principal city status unknown","Other Relatives",45,"Male","Other nonhisp","Married, spouse present","Vietnam","Grade 12","12th grade","At work","Wage/salary, private sector",52,40,20000,"Related subfamily",2080,9.61538505554199,"Animal slaughtering and processing","Production"
5,"East North Central Div.","In metro area, outside central / principal city","Spouse",33,"Male","Hispanic","Married, spouse present","Mexico","Grade 7","5th-8th grades","At work","Wage/salary, private sector",52,40,20000,"Primary family",2080,9.61538505554199,"Motor vehicles and motor vehicle equipment manufacturing","Production"
4,"Pacific Division","In metro area, outside central / principal city","Unmarried Partner",40,"Male","Hispanic","Divorced","Nicaragua","Grade 12","High school","At work","Wage/salary, private sector",52,24,29000,"Secondary individual",1248,23.2371788024902,"Construction","Consruction, Extraction, Installation"
4,"Pacific Division","Central / Principal city status unknown","Head/Householder",34,"Male","White nonhisp","Divorced","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,50,74000,"Primary family",2600,28.4615383148193,"Construction","Consruction, Extraction, Installation"
2,"Pacific Division","In metro area, central / principal city","Head/Householder",29,"Male","Other nonhisp","Married, spouse present","India","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,70000,"Primary family",2080,33.6538467407227,"Computer systems design and related services","Computer and Math Technicians"
5,"Middle Atlantic Division","In metro area, outside central / principal city","Spouse",42,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,50,119000,"Primary family",2600,45.769229888916,"Banking and related activities","financial Operators"
5,"West South Central Div.","In metro area, outside central / principal city","Head/Householder",35,"Male","Other nonhisp","Married, spouse present","India","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,50,75000,"Primary family",2600,28.8461532592773,"Construction","Transportation and materials moving"
4,"East North Central Div.","Central / Principal city status unknown","Spouse",59,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,40000,"Primary family",2080,19.230770111084,"Furniture and related product manufacturing","Production"
3,"Mountain Division","In metro area, central / principal city","Head/Householder",38,"Male","Hispanic","Married, spouse present","Mexico","Bachelor's degree","Bachelor's degree","At work","Local govt employee",52,40,46002,"Primary family",2080,22.1163463592529,"Colleges and universities, including junior colleges","financial Operators"
2,"New England Division","Not in metro area","Head/Householder",46,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Professional degree","At work","Wage/salary, private sector",52,50,75000,"Primary family",2600,28.8461532592773,"Legal services","Lawyers, Judges,Physicans and dentists"
2,"East North Central Div.","Central / Principal city status unknown","Spouse",45,"Male","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 1","At work","Wage/salary, private sector",52,40,41000,"Primary family",2080,19.7115383148193,"Automobile dealers","Consruction, Extraction, Installation"
4,"New England Division","In metro area, outside central / principal city","Head/Householder",38,"Male","Hispanic","Married, spouse present","Guatemala","Grade 2","1st-4th grades","At work","Wage/salary, private sector",52,40,22000,"Primary family",2080,10.5769233703613,"Services to buildings and dwellings","Consruction, Extraction, Installation"
4,"Mountain Division","In metro area, outside central / principal city","Head/Householder",50,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,150000,"Primary family",2080,72.1153869628906,"Electrical lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.","Managers"
3,"South Atlantic Division","In metro area, outside central / principal city","Spouse",55,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,60,22800,"Primary family",3120,7.307692527771,"Grocery stores","Office and Admin Support"
4,"East North Central Div.","In metro area, outside central / principal city","Spouse",33,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","State govt employee",18,40,5850,"Primary family",720,8.125,"Elementary and secondary schools","Managers"
4,"Pacific Division","In metro area, outside central / principal city","Spouse",55,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,55,160000,"Primary family",2860,55.9440574645996,"Wired telecommunications carriers","Managers"
2,"New England Division","Central / Principal city status unknown","Head/Householder",46,"Male","Black nonhisp","Divorced","Nigeria","Bachelor's degree","Bachelor's degree","At work","State govt employee",52,38,38000,"Nonfamily householder",1976,19.230770111084,"Not avaliable","Managers"
2,"New England Division","Central / Principal city status unknown","Head/Householder",28,"Male","White nonhisp","Divorced","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,44000,"Nonfamily householder",2080,21.1538467407227,"Paint, coating, and adhesives manufacturing","Consruction, Extraction, Installation"
2,"South Atlantic Division","In metro area, outside central / principal city","Head/Householder",31,"Male","Other nonhisp","Married, spouse present","China","Grade 12","High school","At work","Wage/salary, private sector",52,35,35000,"Primary family",1820,19.230770111084,"Restaurants and other food services","Computer and Math Technicians"
3,"East North Central Div.","Central / Principal city status unknown","Head/Householder",30,"Male","Other nonhisp","Married, spouse present","India","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,115000,"Primary family",2080,55.288459777832,"Computer systems design and related services","Computer and Math Technicians"
1,"South Atlantic Division","Central / Principal city status unknown","Head/Householder",52,"Male","White nonhisp","Divorced","United States","Grade 12","High school","At work","State govt employee",52,40,59500,"Nonfamily householder",2080,28.605770111084,"Colleges and universities, including junior colleges","Protective Service adj_occupations"
2,"New England Division","Not in metro area","Head/Householder",56,"Male","White nonhisp","Divorced","United States","Grade 12","High school","At work","Wage/salary, private sector",26,40,19555,"Nonfamily householder",1040,18.802885055542,"Pulp, paper, and paperboard mills","Production"
1,"New England Division","In metro area, outside central / principal city","Head/Householder",53,"Male","Black nonhisp","Divorced","Nigeria","Grade 12","High school","At work","Wage/salary, private sector",26,50,20000,"Nonfamily householder",1300,15.384614944458,"Machinery manufacturing, n.e.c.","Production"
5,"New England Division","Not in metro area","Head/Householder",50,"Male","White nonhisp","Divorced","United States","Advanced degree","Master's degree","At work","State govt employee",44,9,22000,"Primary family",396,55.5555572509766,"Colleges and universities, including junior colleges","Managers"
3,"South Atlantic Division","In metro area, outside central / principal city","Spouse",37,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,50,70000,"Primary family",2600,26.9230766296387,"Beverage manufacturing","Office and Admin Support"
2,"Pacific Division","In metro area, outside central / principal city","Roomers/boarders/lodgers",37,"Male","White nonhisp","Never married/single","Canada","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,75,150000,"Secondary individual",3900,38.461540222168,"Industrial and miscellaneous chemicals","Managers"
